proximity,r,g,b
14,48,25,21
14,48,25,21
14,48,25,21
16,48,25,21
15,48,25,21
15,48,25,21
15,48,26,21
15,48,26,21
12,48,25,21
12,48,25,21
14,43,23,19
14,43,23,19
13,46,25,21
13,46,25,21
14,48,26,21
14,48,26,21
11,48,25,21
11,48,25,21
15,41,22,18
15,41,22,18
14,46,24,21
14,46,24,21
16,48,26,21
16,48,25,21
13,48,25,21
11,45,24,20
11,45,24,20
16,46,24,21
16,46,24,21
11,48,25,21
11,48,25,21
10,48,25,21
10,48,25,21
13,48,25,21
13,48,25,21
14,42,22,18
14,42,22,18
15,45,24,20
15,45,24,20
13,47,25,21
