proximity,r,g,b
18,19,11,9
18,19,11,9
18,20,11,9
18,20,11,9
18,20,11,9
18,20,11,9
21,20,11,9
15,20,11,9
15,20,11,9
21,20,11,9
21,20,11,9
20,21,11,9
20,21,11,9
18,21,11,9
18,21,11,9
20,19,10,9
20,19,10,9
21,21,12,10
21,21,12,10
19,21,12,10
19,21,12,10
20,20,11,9
20,20,11,9
16,23,12,10
16,23,12,10
18,23,13,11
18,24,13,11
18,24,13,11
14,27,14,12
14,27,14,12
16,28,15,13
16,28,15,13
20,29,15,13
20,29,15,13
19,31,16,14
19,31,16,14
15,33,17,15
15,33,17,15
19,33,18,15
19,33,18,15
