proximity,r,g,b
14,50,27,22
14,50,27,22
14,50,27,22
10,50,27,22
10,50,27,22
14,50,27,22
14,50,27,22
11,50,27,22
10,50,27,22
10,50,27,22
11,50,27,22
11,50,27,22
13,48,26,21
13,48,26,21
10,48,26,21
10,48,26,21
15,50,26,22
15,50,26,22
13,50,27,22
13,50,27,22
10,50,27,22
10,50,27,22
13,50,27,22
13,50,27,22
13,45,24,20
13,45,24,20
9,47,25,21
13,49,26,22
13,49,26,22
10,50,27,22
10,50,27,22
12,50,27,22
12,50,27,22
13,50,27,22
13,50,27,22
14,45,24,20
14,45,24,20
13,46,25,21
13,46,25,21
14,49,26,22
