proximity,r,g,b
20,33,17,15
20,33,17,15
22,33,17,15
22,33,17,15
22,32,17,15
22,32,17,15
20,32,17,15
20,32,17,15
22,33,18,15
22,33,18,15
21,32,17,15
22,33,17,15
22,33,17,15
21,33,18,15
21,33,18,15
22,33,18,15
22,33,18,15
20,32,18,15
20,32,18,15
19,33,18,15
19,33,18,15
20,33,18,15
20,33,18,15
22,33,18,15
22,33,18,15
20,33,17,15
20,33,17,15
20,33,18,15
20,33,18,15
22,33,18,15
22,33,18,15
21,33,18,15
16,31,17,14
16,31,17,14
21,32,17,14
21,32,17,14
22,33,18,15
22,33,18,15
20,33,18,15
20,33,18,15
