proximity,r,g,b
22,17,10,8
19,17,10,8
19,17,10,8
22,17,9,8
22,17,9,8
20,16,9,8
20,16,9,8
24,16,9,8
24,16,9,8
25,16,9,8
24,16,9,8
24,16,9,8
23,17,9,8
23,17,9,8
23,17,9,8
23,17,9,8
21,16,9,8
21,16,9,8
20,16,9,8
20,16,9,8
24,16,9,8
24,16,9,8
25,17,9,8
25,17,9,8
25,17,9,8
25,17,9,8
25,17,9,8
25,17,9,8
23,17,9,8
23,17,9,8
24,17,9,8
20,16,9,8
20,16,9,8
22,16,9,8
22,16,9,8
30,17,9,8
30,17,9,8
32,16,9,8
32,16,9,8
31,16,9,7
