proximity,r,g,b
19,42,23,19
19,42,23,19
19,42,23,19
26,42,23,19
26,42,23,19
23,42,22,19
23,42,22,19
23,42,23,19
23,42,23,19
24,43,23,19
24,43,23,19
21,43,23,19
21,43,23,19
19,43,23,19
19,43,23,20
19,43,23,20
19,43,23,20
19,43,23,20
25,43,23,20
25,43,23,20
25,43,23,20
25,43,23,20
23,43,23,20
23,43,23,20
21,43,23,20
21,43,23,20
25,43,23,20
25,43,23,20
18,43,23,20
18,43,23,20
21,44,23,20
21,44,23,20
20,44,23,20
20,44,23,20
24,44,23,20
24,43,23,20
24,43,23,20
23,43,23,20
23,43,23,20
23,43,23,20
